	image	text	font
188	188.jpg	84124 4050830	fonts/go/NotoSansMyanmar-Thin.ttf
331	331.jpg	7206743  203016 02 98	fonts/go/NotoSansElymaic-Regular.ttf
677	677.jpg	 6  62	fonts/go/NotoSansCuneiform-Regular.ttf
796	796.jpg	112 5173  605 66268163 15631085	fonts/go/NotoSansAdlamUnjoined[wght].ttf
1225	1225.jpg	96 800505 19555582	fonts/go/NotoSansCuneiform-Regular.ttf
1390	1390.jpg	28 13 293	fonts/go/NotoSansThaiLooped-Light.ttf
1475	1475.jpg	6227 1654995	fonts/go/NotoSansMro-Regular.ttf
1494	1494.jpg	19 2 2574  7 9  151	fonts/go/NotoSansOldSogdian-Regular.ttf
1794	1794.jpg	 55 0 922808	fonts/go/NotoSansElymaic-Regular.ttf
1813	1813.jpg	6724016763 936	fonts/go/NotoSansAnatolianHieroglyphs-Regular.ttf
1956	1956.jpg	414089880	fonts/go/NotoSansMedefaidrin[wght].ttf
1970	1970.jpg	868 71651 9051	fonts/go/NotoSansThaiLooped-Light.ttf
