	image	text	font
3	3.jpg	767695 897 959 393 60 988	fonts/go/NotoSansYi-Regular.ttf
22	22.jpg	92 87605	fonts/go/NotoSansWancho-Regular.ttf
33	33.jpg	6140	fonts/go/NotoSansWarangCiti-Regular.ttf
119	119.jpg	25524 118 2082986342 855348 721369	fonts/go/LaoSansPro-Regular.ttf
135	135.jpg	2294658341 1 1 300	fonts/go/NotoSansLao[wdth,wght].ttf
242	242.jpg	922  6 14 69061  9 94 236 608	fonts/go/NotoSansWarangCiti-Regular.ttf
263	263.jpg	 7755 9 62  441581503 9430	fonts/go/NotoSansCanadianAboriginal[wght].ttf
278	278.jpg	07084 4 715	fonts/go/NotoSansGrantha-Regular.ttf
281	281.jpg	 20602 10 26 67 630952	fonts/go/NotoSansCarian-Regular.ttf
298	298.jpg	2677552 67 0229446 17	fonts/go/NotoSansLao[wdth,wght].ttf
343	343.jpg	63	fonts/go/NotoSansMyanmarUI-Bold.ttf
352	352.jpg	1268412240 823171790 743  3 48	fonts/go/NotoSansMeeteiMayek[wght].ttf
355	355.jpg	 67174181 714443 	fonts/go/AdobeBlank-Regular.ttf
358	358.jpg	855 63573   48 76  294471	fonts/go/NotoSansMyanmar-Light.ttf
370	370.jpg	 41000962 7014 85998 509	fonts/go/NotoSansSiddham-Regular.ttf
455	455.jpg	302406 579	fonts/go/NotoSansMyanmar-Black.ttf
502	502.jpg	54441601 505 003348	fonts/go/NotoSansMeroitic-Regular.ttf
669	669.jpg	81 48	fonts/go/NotoSansMultani-Regular.ttf
704	704.jpg	4125 71194 914507599 74 2869 909 	fonts/go/Fahkwang-Italic.ttf
925	925.jpg	235628 5372624323	fonts/go/NotoSansNabataean-Regular.ttf
972	972.jpg	 626063542 790  195	fonts/go/NotoSansMyanmar-Black.ttf
1093	1093.jpg	 85267 50 849	fonts/go/NotoSansNewa-Regular.ttf
1143	1143.jpg	5150876344 011300 48124536	fonts/go/NotoSansTirhuta-Regular.ttf
1246	1246.jpg	6 6 088 956720850 52 40	fonts/go/NotoSansMiao-Regular.ttf
1280	1280.jpg	58 8067 320422937 08 041 71	fonts/go/NotoSerifThai[wdth,wght].ttf
1323	1323.jpg	46 78 388 535113	fonts/go/NotoSansTagalog-Regular.ttf
1339	1339.jpg	 215 9514 9 669	fonts/go/NotoSansCherokee[wght].ttf
1411	1411.jpg	 877 29	fonts/go/NotoSansTagalog-Regular.ttf
1446	1446.jpg	85168624	fonts/go/NotoSansTagalog-Regular.ttf
1554	1554.jpg	33031346 5410095425 66163774	fonts/go/NotoSansNabataean-Regular.ttf
1577	1577.jpg	 831 13660	fonts/go/NotoSerifThai[wdth,wght].ttf
1637	1637.jpg	240  8915  561 89	fonts/go/NotoSerifLao[wdth,wght].ttf
1765	1765.jpg	105159  5 137 46007547 	fonts/go/NotoSansTirhuta-Regular.ttf
1776	1776.jpg	22 1714899 356 105	fonts/go/NotoSansKhudawadi-Regular.ttf
1847	1847.jpg	0655433 426 	fonts/go/NotoSansTagalog-Regular.ttf
1956	1956.jpg	99812591 40   32	fonts/go/NotoSansMyanmar-Black.ttf
